x,y,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,STATION_NAME,LOCAL_DAY,ID,TOTAL_PRECIPITATION,LOCAL_DATE,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY
-114.01333333333334,51.1225,0,,8,,,54,,20,3.9,CALGARY INTL A,28,3031092.2012.8.28,0,2012-08-28 00:00:00,AB,,21.9,14.1,,,0,,,2012,,,,,0,,29.7,,3031092,
-114.01333333333334,51.1225,0.2,,8,,,48,,29,0,CALGARY INTL A,29,3031092.2012.8.29,0.2,2012-08-29 00:00:00,AB,,15.8,10.6,,,2.2,,,2012,,,,,0,,21,,3031092,
-114.01333333333334,51.1225,0,,8,,,35,,19,0,CALGARY INTL A,30,3031092.2012.8.30,0,2012-08-30 00:00:00,AB,,14.2,6.5,,,3.8,,,2012,,,,,0,,21.8,,3031092,
-114.01333333333334,51.1225,0,,8,,,43,,33,0,CALGARY INTL A,31,3031092.2012.8.31,0,2012-08-31 00:00:00,AB,,13.3,5.2,,,4.7,,,2012,,,,,0,,21.4,,3031092,
-114.01333333333334,51.1225,0.8,,9,,,59,,27,0,CALGARY INTL A,1,3031092.2012.9.1,0.8,2012-09-01 00:00:00,AB,,13.7,8.8,,,4.3,,,2012,,,,,0,,18.5,,3031092,
-114.01333333333334,51.1225,0,,9,,,57,,27,0,CALGARY INTL A,3,3031092.2012.9.3,0,2012-09-03 00:00:00,AB,,15.2,8.3,,,2.8,,,2012,,,T,T,0,,22,,3031092,
-114.01333333333334,51.1225,0.8,,9,,,56,,33,0,CALGARY INTL A,4,3031092.2012.9.4,0.8,2012-09-04 00:00:00,AB,,13.2,6.7,,,4.8,,,2012,,,,,0,,19.6,,3031092,
-114.01333333333334,51.1225,0,,9,,,52,,33,0,CALGARY INTL A,5,3031092.2012.9.5,0,2012-09-05 00:00:00,AB,,9.6,5.2,,,8.4,,,2012,,,T,T,0,,14,,3031092,
-114.01333333333334,51.1225,0,,9,,,41,,21,0,CALGARY INTL A,6,3031092.2012.9.6,0,2012-09-06 00:00:00,AB,,12.2,5,,,5.8,,,2012,,,T,T,0,,19.4,,3031092,
-114.01333333333334,51.1225,0,,9,,,0,,0,0,CALGARY INTL A,7,3031092.2012.9.7,0,2012-09-07 00:00:00,AB,,15.9,6.3,,,2.1,,,2012,,,,,0,,25.4,,3031092,
-114.01333333333334,51.1225,0,,9,,,37,,26,0,CALGARY INTL A,8,3031092.2012.9.8,0,2012-09-08 00:00:00,AB,,17.8,8.6,,,0.2,,,2012,,,,,0,,26.9,,3031092,
-114.01333333333334,51.1225,0,,9,,,50,,27,0,CALGARY INTL A,12,3031092.2012.9.12,0,2012-09-12 00:00:00,AB,,10,1.2,,,8,,,2012,,,,,0,,18.8,,3031092,
-114.01333333333334,51.1225,0,,9,,,39,,20,0,CALGARY INTL A,13,3031092.2012.9.13,0,2012-09-13 00:00:00,AB,,17.1,9.2,,,0.9,,,2012,,,,,0,,25,,3031092,
-114.01333333333334,51.1225,0,,9,,,52,,28,0,CALGARY INTL A,14,3031092.2012.9.14,0,2012-09-14 00:00:00,AB,,17.5,7.2,,,0.5,,,2012,,,,,0,,27.7,,3031092,
