x,y,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_SNOW,PROVINCE_CODE,TOTAL_SNOW_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,ID,LOCAL_DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS
-115.06666666666666,51.083333333333336,,40,,AB,,,,2021,6,,,9,,-2.7,0,16.8,M,3050778.2021.6.9,2021-06-09 00:00:00,7.1,,,,,95,,,3050778,,,,BOW VALLEY,,10.9
-115.06666666666666,51.083333333333336,,51,,AB,,,,2021,6,,,10,,0.6,0,13.3,M,3050778.2021.6.10,2021-06-10 00:00:00,6.9,,,26,,93,,31,3050778,,,,BOW VALLEY,,11.1
-115.06666666666666,51.083333333333336,,23,,AB,,,,2021,6,,,11,,-0.1,0,17.1,M,3050778.2021.6.11,2021-06-11 00:00:00,8.5,,,26,,94,,38,3050778,,,,BOW VALLEY,,9.5
-115.06666666666666,51.083333333333336,,17,,AB,,,,2021,6,,,12,,0.6,0,19.3,M,3050778.2021.6.12,2021-06-12 00:00:00,9.9,,,25,,84,,38,3050778,,,,BOW VALLEY,,8.1
-115.06666666666666,51.083333333333336,,23,,AB,,,,2021,6,,,13,,2.2,0,25.8,M,3050778.2021.6.13,2021-06-13 00:00:00,14,,,,,71,,,3050778,,,,BOW VALLEY,,4
-115.06666666666666,51.083333333333336,,30,,AB,,,,2021,6,,,14,,11.5,2.5,29.4,M,3050778.2021.6.14,2021-06-14 00:00:00,20.5,,,25,,92,,41,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,32,,AB,,,,2021,6,,,15,,8.1,0,22.1,M,3050778.2021.6.15,2021-06-15 00:00:00,15.1,,,25,,94,,52,3050778,,,,BOW VALLEY,,2.9
-115.06666666666666,51.083333333333336,,23,,AB,,,,2021,6,,,16,,8.1,0,17.8,M,3050778.2021.6.16,2021-06-16 00:00:00,12.9,,,26,,70,,60,3050778,,,,BOW VALLEY,,5.1
-115.06666666666666,51.083333333333336,,19,,AB,,,,2021,6,,,17,,7.2,0,21.7,M,3050778.2021.6.17,2021-06-17 00:00:00,14.5,,,23,,70,,40,3050778,,,,BOW VALLEY,,3.5
-115.06666666666666,51.083333333333336,,16,,AB,,,,2021,6,,,18,,-0.7,0,25.2,M,3050778.2021.6.18,2021-06-18 00:00:00,12.3,,,,,92,,,3050778,,,,BOW VALLEY,,5.7
-115.06666666666666,51.083333333333336,,59,,AB,,,,2021,6,,,19,,5.3,0,17,M,3050778.2021.6.19,2021-06-19 00:00:00,11.1,,,5,,94,,36,3050778,,,,BOW VALLEY,,6.9
-115.06666666666666,51.083333333333336,,26,,AB,,,,2021,6,,,20,,6.5,0,22,M,3050778.2021.6.20,2021-06-20 00:00:00,14.2,,,,,93,,,3050778,,,,BOW VALLEY,,3.8
-115.06666666666666,51.083333333333336,,18,,AB,,,,2021,6,,,21,,3.3,0,26.7,M,3050778.2021.6.21,2021-06-21 00:00:00,15,,,27,,91,,31,3050778,,,,BOW VALLEY,,3
-115.06666666666666,51.083333333333336,,16,,AB,,,,2021,6,,,22,,12.2,2.5,28.8,M,3050778.2021.6.22,2021-06-22 00:00:00,20.5,,,27,,50,,44,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,32,,AB,,,,2021,6,,,23,,7.6,0,22.3,M,3050778.2021.6.23,2021-06-23 00:00:00,15,,,,,78,,,3050778,,,,BOW VALLEY,,3
-115.06666666666666,51.083333333333336,,53,,AB,,,,2021,6,,,24,,10.8,0,19.4,M,3050778.2021.6.24,2021-06-24 00:00:00,15.1,,,,,93,,,3050778,,,,BOW VALLEY,,2.9
-115.06666666666666,51.083333333333336,,27,,AB,,,,2021,6,,,25,,10.5,1.2,27.9,M,3050778.2021.6.25,2021-06-25 00:00:00,19.2,,,26,,80,,37,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,18,,AB,,,,2021,6,,,26,,11.8,4.2,32.6,M,3050778.2021.6.26,2021-06-26 00:00:00,22.2,,,,,84,,,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,26,,AB,,,,2021,6,,,27,,10,3.1,32.2,M,3050778.2021.6.27,2021-06-27 00:00:00,21.1,,,,,91,,,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,10,,AB,,,,2021,6,,,28,,12.1,6.9,37.7,M,3050778.2021.6.28,2021-06-28 00:00:00,24.9,,,26,,81,,39,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,17,,AB,,,,2021,6,,,29,,12.9,7.5,38.1,M,3050778.2021.6.29,2021-06-29 00:00:00,25.5,,,25,,82,,36,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,13,,AB,,,,2021,6,,,30,,9.5,5.9,38.2,M,3050778.2021.6.30,2021-06-30 00:00:00,23.9,,,,,85,,,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,12,,AB,,,,2021,7,,,1,,7.5,4.6,37.6,M,3050778.2021.7.1,2021-07-01 00:00:00,22.6,,,28,,82,,37,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,30,,AB,,,,2021,7,,,2,,13.3,4.5,31.7,M,3050778.2021.7.2,2021-07-02 00:00:00,22.5,,,24,,81,,41,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,32,,AB,,,,2021,7,,,3,,8.3,0.6,28.8,M,3050778.2021.7.3,2021-07-03 00:00:00,18.6,,,12,,93,,32,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,68,,AB,,,,2021,7,,,4,,12,0,17.2,M,3050778.2021.7.4,2021-07-04 00:00:00,14.6,,,,,90,,,3050778,,,,BOW VALLEY,,3.4
-115.06666666666666,51.083333333333336,,79,,AB,,,,2021,7,,,5,,11.5,0,15.1,M,3050778.2021.7.5,2021-07-05 00:00:00,13.3,,,,,94,,,3050778,,,,BOW VALLEY,,4.7
-115.06666666666666,51.083333333333336,,29,,AB,,,,2021,7,,,6,,11,0.3,25.5,M,3050778.2021.7.6,2021-07-06 00:00:00,18.3,,,27,,94,,32,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,34,,AB,,,,2021,7,,,7,,7.9,0,26.5,M,3050778.2021.7.7,2021-07-07 00:00:00,17.2,,,25,,93,,35,3050778,,,,BOW VALLEY,,0.8
-115.06666666666666,51.083333333333336,,26,,AB,,,,2021,7,,,8,,11.3,1.2,27,M,3050778.2021.7.8,2021-07-08 00:00:00,19.2,,,27,,93,,39,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,22,,AB,,,,2021,7,,,9,,7.8,0.4,29.1,M,3050778.2021.7.9,2021-07-09 00:00:00,18.4,,,25,,93,,33,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,14,,AB,,,,2021,7,,,10,,8,1.3,30.5,M,3050778.2021.7.10,2021-07-10 00:00:00,19.3,,,25,,88,,32,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,44,,AB,,,,2021,7,,,11,,10.8,0,23.6,M,3050778.2021.7.11,2021-07-11 00:00:00,17.2,,,,,93,,,3050778,,,,BOW VALLEY,,0.8
-115.06666666666666,51.083333333333336,,36,,AB,,,,2021,7,,,12,,5.4,0,26.9,M,3050778.2021.7.12,2021-07-12 00:00:00,16.2,,,,,95,,,3050778,,,,BOW VALLEY,,1.8
-115.06666666666666,51.083333333333336,,31,,AB,,,,2021,7,,,13,,5.8,0,28.3,M,3050778.2021.7.13,2021-07-13 00:00:00,17,,,,,95,,,3050778,,,,BOW VALLEY,,1
-115.06666666666666,51.083333333333336,,12,,AB,,,,2021,7,,,14,,7.1,1.2,31.3,M,3050778.2021.7.14,2021-07-14 00:00:00,19.2,,,24,,92,,37,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,15,,AB,,,,2021,7,,,15,,9,2,31,M,3050778.2021.7.15,2021-07-15 00:00:00,20,,,25,,74,,33,3050778,,,,BOW VALLEY,,0
-115.06666666666666,51.083333333333336,,27,,AB,,,,2021,7,,,16,,12.3,1.4,26.5,M,3050778.2021.7.16,2021-07-16 00:00:00,19.4,,,7,,81,,35,3050778,,,,BOW VALLEY,,0
