x,y,SNOW_ON_GROUND,LOCAL_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST,LOCAL_DATE,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN
-113.60583583333333,53.306667222222224,51,20,-10.9,0,,,3012206.1999.2.20,,28.9,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-20 00:00:00,,,,,,-21.9,,,,,,3012206,2,0.1,,,,
-113.60583583333333,53.306667222222224,53,21,-5.6,0,,,3012206.1999.2.21,,23.6,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-21 00:00:00,,,,,,-10.4,,,,,,3012206,2,-0.7,,,,
-113.60583583333333,53.306667222222224,52,22,-6.8,0,,,3012206.1999.2.22,,24.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-22 00:00:00,,,,,,-12,,,,,,3012206,2,-1.6,,,,
-113.60583583333333,53.306667222222224,54,23,-2.7,0,,,3012206.1999.2.23,,20.7,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-23 00:00:00,,,,,,-9.5,,,,,,3012206,2,4.1,,,,
-113.60583583333333,53.306667222222224,52,24,-7.2,0,,,3012206.1999.2.24,,25.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-24 00:00:00,,,,,,-13.5,,,,,,3012206,2,-0.9,,,,
-113.60583583333333,53.306667222222224,53,25,-2.4,0,,,3012206.1999.2.25,,20.4,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-25 00:00:00,,,,,,-11.4,,,,,,3012206,2,6.7,,,,
-113.60583583333333,53.306667222222224,52,26,-3.3,0,,,3012206.1999.2.26,,21.3,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-26 00:00:00,,,,,,-13.9,,,,,,3012206,2,7.4,,,,
-113.60583583333333,53.306667222222224,52,27,-5.7,0,,,3012206.1999.2.27,,23.7,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-27 00:00:00,,,,,,-12,,,,,,3012206,2,0.6,,,,
-113.60583583333333,53.306667222222224,51,28,-10.4,0,,,3012206.1999.2.28,,28.4,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-02-28 00:00:00,,,,,,-15.5,,,,,,3012206,2,-5.3,,,,
-113.60583583333333,53.306667222222224,,1,-6.4,0,,,3012206.1999.3.1,,24.4,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-01 00:00:00,,,,,,-11,,,,,,3012206,3,-1.7,,,,
-113.60583583333333,53.306667222222224,,2,-8.5,0,,,3012206.1999.3.2,,26.5,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-02 00:00:00,,,,,,-14.9,,,,,,3012206,3,-2.1,,,,
-113.60583583333333,53.306667222222224,,3,-7.8,0,,,3012206.1999.3.3,,25.8,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-03 00:00:00,,,,,,-11.9,,,,,,3012206,3,-3.6,,,,
-113.60583583333333,53.306667222222224,,4,-12.3,0,,,3012206.1999.3.4,,30.3,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-04 00:00:00,,,,,,-17.7,,,,,,3012206,3,-6.8,,,,
-113.60583583333333,53.306667222222224,,5,-16.2,0,,,3012206.1999.3.5,,34.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-05 00:00:00,,,,,,-21.7,,,,,,3012206,3,-10.7,,,,
-113.60583583333333,53.306667222222224,,6,-16.1,0,,,3012206.1999.3.6,,34.1,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-06 00:00:00,,,,,,-21.9,,,,,,3012206,3,-10.3,,,,
-113.60583583333333,53.306667222222224,,7,-14.2,0,,,3012206.1999.3.7,,32.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-07 00:00:00,,,,,,-17,,,,,,3012206,3,-11.3,,,,
-113.60583583333333,53.306667222222224,,8,-11.2,0,,,3012206.1999.3.8,,29.2,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-08 00:00:00,,,,,,-15,,,,,,3012206,3,-7.3,,,,
-113.60583583333333,53.306667222222224,,9,,,M,,3012206.1999.3.9,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-09 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,10,,,M,,3012206.1999.3.10,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-10 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,11,,,M,,3012206.1999.3.11,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-11 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,12,,,M,,3012206.1999.3.12,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-12 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,13,,,M,,3012206.1999.3.13,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-13 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,14,,,M,,3012206.1999.3.14,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-14 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,15,,,M,,3012206.1999.3.15,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-15 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,16,,,M,,3012206.1999.3.16,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-16 00:00:00,,,,,,,M,,M,,,3012206,3,,,M,,
-113.60583583333333,53.306667222222224,,17,,,M,,3012206.1999.3.17,M,,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-17 00:00:00,,,,,,,E,,M,,,3012206,3,-1,,M,,
-113.60583583333333,53.306667222222224,,18,-6.3,0,,,3012206.1999.3.18,,24.3,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-18 00:00:00,,,,,,-18.8,,,,,,3012206,3,6.2,,,,
-113.60583583333333,53.306667222222224,,19,0.6,0,E,,3012206.1999.3.19,E,17.4,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-19 00:00:00,,,,,,-4.9,E,,E,,,3012206,3,6.1,,E,,
-113.60583583333333,53.306667222222224,,20,-1.5,0,,,3012206.1999.3.20,,19.5,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-20 00:00:00,,,,,,-6.9,,,,,,3012206,3,3.9,,,,
-113.60583583333333,53.306667222222224,,21,-2.6,0,,,3012206.1999.3.21,,20.6,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-21 00:00:00,,,,,,-9.7,,,,,,3012206,3,4.5,,,,
-113.60583583333333,53.306667222222224,,22,-5.5,0,E,,3012206.1999.3.22,E,23.5,,EDMONTON INTERNATIONAL CS,AB,1999,,,1999-03-22 00:00:00,,,,,,-13.9,E,,E,,,3012206,3,3,,E,,
